frame_id,rtsp_capture_ms,yolo_inference_ms,fusion_geometry_ms,total_pipeline_ms
1,2.45,0.14,0.02,56.65
2,0.19,5.24,0.03,38.75
3,0.23,0.31,0.06,29.29
4,0.26,0.65,0.02,22.64
5,0.27,0.2,0.03,22.72
6,0.31,0.77,0.03,24.1
7,0.22,0.16,0.03,25.6
8,2.55,6.69,0.04,54.04
9,0.28,0.21,0.04,27.98
10,0.26,0.59,0.03,20.45
11,0.26,0.18,0.03,17.48
12,0.26,0.56,0.02,14.57
13,0.25,0.16,0.02,42.74
14,0.85,3.73,0.03,39.84
15,1.64,1.23,0.02,57.71
16,0.45,0.41,0.02,21.51
17,0.63,0.09,0.02,45.48
18,0.5,0.68,0.02,24.48
19,1.08,0.18,0.03,24.11
20,0.28,0.87,0.03,17.6
21,0.21,0.23,0.04,20.2
22,0.26,0.69,0.03,22.83
23,0.25,0.2,0.03,23.76
24,9.69,10.76,0.03,95.92
25,0.26,0.18,0.03,32.67
26,0.28,0.82,0.03,25.76
27,0.34,0.18,0.03,20.48
28,8.0,8.57,0.03,91.13
29,0.44,0.19,0.01,47.37
30,0.28,0.72,0.03,24.72
31,0.27,0.11,0.02,21.3
32,0.26,0.5,0.02,24.18
33,8.84,10.3,0.03,57.57
34,0.3,0.65,0.03,27.14
35,0.59,0.24,0.03,21.5
36,0.29,1.42,0.03,25.92
37,0.24,0.18,0.03,33.27
38,0.24,0.7,0.03,22.48
39,0.26,0.17,0.03,21.95
40,0.27,0.89,0.03,38.88
41,0.27,0.17,0.02,26.1
42,0.26,4.48,0.03,30.27
43,0.27,0.17,0.03,24.06
44,0.25,3.44,0.04,24.54
45,0.26,0.2,0.03,20.49
46,0.23,3.2,0.02,24.41
47,0.32,0.2,0.03,25.44
48,4.07,26.6,0.02,98.33
49,2.2,0.86,0.01,48.25
50,0.29,4.4,0.03,30.16
51,0.35,0.21,0.03,26.34
52,0.25,3.97,0.03,29.35
53,0.31,0.18,0.03,28.76
54,0.28,3.7,0.07,27.47
55,0.25,0.17,0.02,30.49
56,0.44,2.53,0.02,27.96
57,0.26,0.19,0.02,17.46
58,3.55,21.49,0.02,44.81
59,0.43,0.15,0.01,57.26
60,0.23,2.79,0.03,20.2
61,0.14,0.09,0.01,12.08
62,0.15,1.15,0.02,8.37
63,0.13,0.1,0.01,6.05
64,0.2,1.4,0.02,8.5
65,0.14,0.08,0.01,6.67
66,0.18,1.78,0.02,13.72
67,0.92,0.33,0.02,26.68
68,0.16,1.27,0.01,6.5
69,0.18,0.1,0.02,6.9
70,0.2,0.83,0.01,9.79
71,0.21,0.12,0.02,11.39
72,0.16,1.36,0.02,11.8
73,0.27,0.09,0.01,12.27
74,0.18,0.81,0.01,6.91
75,0.16,0.09,0.01,12.44
76,0.23,2.12,0.03,17.87
77,0.17,0.11,0.02,12.16
78,0.15,1.2,0.02,9.0
79,0.23,0.1,0.01,5.76
80,0.19,1.48,57.83,81.44
81,0.19,0.09,34.96,53.15
82,0.17,0.66,41.82,64.89
83,0.34,0.45,44.23,69.29
84,1.49,17.99,111.79,479.89
85,0.21,1.02,38.73,81.62
86,0.2,2.0,40.72,68.7
87,3.3,4.67,177.8,570.7
88,0.37,29.47,35.36,92.99
89,0.16,0.19,23.28,42.83
90,0.25,1.36,35.01,59.9
91,0.42,0.22,26.84,51.1
92,0.25,1.6,47.55,83.69
93,1.81,5.54,196.14,550.97
94,0.18,1.3,55.92,321.74
95,0.37,0.36,33.83,72.03
96,0.14,1.23,28.22,56.75
97,0.18,0.33,52.2,80.12
98,1.36,14.44,210.99,542.17
99,0.35,0.22,48.54,260.88
100,1.06,3.44,56.94,99.29
101,0.79,1.02,30.18,55.8
102,0.29,2.26,66.79,103.72
103,0.52,1.45,33.47,58.72
104,11.05,6.9,112.66,173.22
105,1.38,0.97,53.56,71.32
106,0.18,1.5,29.46,50.76
107,1.45,2.62,95.6,221.4
108,4.91,149.19,18.93,187.79
109,2.71,0.42,72.07,127.65
110,0.23,48.1,52.1,133.36
111,0.63,0.2,38.15,77.92
112,1.85,5.81,49.56,92.48
113,0.86,3.02,153.68,264.05
114,1.49,19.35,68.72,125.87
115,0.23,0.74,45.09,73.6
116,0.44,5.09,48.94,84.54
117,0.36,0.12,41.54,93.76
118,0.25,83.81,115.43,261.21
119,0.33,3.01,102.64,186.17
120,1.06,23.9,85.39,199.14
121,0.38,0.6,99.67,170.32
122,0.28,5.39,79.96,151.01
123,1.89,0.42,100.93,233.33
124,1.14,16.79,114.87,354.9
125,2.4,6.69,139.24,274.05
126,0.23,28.35,84.24,163.89
127,0.39,2.07,59.9,111.78
128,0.19,4.83,46.62,87.97
129,0.51,0.16,39.61,74.78
130,0.58,4.44,65.49,120.12
131,0.28,0.27,131.48,183.9
132,0.35,26.64,57.05,131.18
133,0.26,0.22,60.41,106.32
134,0.26,2.91,41.7,80.32
135,0.23,0.35,53.15,71.43
136,0.95,3.59,44.07,85.02
137,0.62,1.84,31.49,65.26
138,0.31,13.88,70.44,119.47
139,0.49,0.14,75.15,116.73
140,0.29,11.51,301.86,501.44
141,0.21,1.89,59.65,135.44
142,1.95,8.79,64.46,103.95
143,0.22,1.29,44.04,77.9
144,1.19,4.73,55.41,107.59
145,2.5,2.59,124.97,237.44
146,2.79,17.47,76.06,137.5
147,0.23,1.91,55.43,107.82
148,2.96,5.06,46.14,93.78
149,3.03,1.62,58.42,104.65
150,0.69,6.36,61.76,104.88
151,1.94,14.62,212.2,564.43
152,0.49,6.54,73.07,352.74
153,1.0,0.97,49.59,83.2
154,0.81,2.5,33.38,60.42
155,1.0,1.09,36.19,64.88
156,4.6,15.96,95.9,390.5
157,1.0,0.37,61.34,112.79
158,0.25,5.99,49.88,96.46
159,2.53,5.54,229.19,491.13
160,1.92,2.65,80.42,130.0
161,0.17,0.51,38.66,67.79
162,0.18,4.18,34.12,115.68
163,0.39,0.12,30.02,57.93
164,0.63,4.68,110.83,203.31
165,0.3,3.07,158.75,278.75
166,0.27,9.3,174.3,288.54
167,0.72,5.6,346.15,869.89
168,2.44,53.63,128.21,350.54
169,1.34,2.16,159.41,201.44
170,0.23,3.77,68.37,90.56
171,0.65,0.4,42.3,87.66
172,0.29,1.59,34.22,63.1
173,0.63,0.42,39.19,75.42
174,0.34,3.77,53.99,90.14
175,1.35,4.74,254.89,493.12
176,0.96,3.24,70.23,114.01
177,0.26,1.3,159.28,438.05
178,0.32,4.37,41.87,73.32
179,0.44,2.37,33.36,64.73
180,0.75,1.81,42.28,76.35
181,0.24,0.27,35.02,67.46
182,0.34,2.2,42.42,71.8
